store,upc,week,move,price,profit,descrip,custcoun,Brand
5,1200000394,12,34,.02335938,20.07,"PEPSI COLA N.R. BOTT",18307,12000
5,1200000396,12,21,.02335938,20.07,"DIET PEPSI N.R. BOTT",18307,12000
5,1200000492,12,51,.02498963,20.12,"CAFFEINE FREE PEPSI",18307,12000
5,1200000496,12,54,.02498963,20.12,"DIET PEPSI CAFFEINE",18307,12000
5,3828100261,12,52,.01388889,30.63,"DOM ORANGE SODA",18307,38281
5,4900000634,12,106,.02486111,20.11,"COCA-COLA CLASSIC CA",18307,49000
5,4900000639,12,124,.02498963,20.12,"COCA-COLA CLASSIC",18307,49000
5,4900000658,12,94,.02486111,20.11,"COKE DIET CANS",18307,49000
5,5490000060,12,16,.02498963,49.11,"DR PEPPER",18307,54900
5,1200000230,13,572,.01759625,13.45,"PEPSI COLA N/R",18401,12000
5,1200000394,13,48,.02179688,14.34,"PEPSI COLA N.R. BOTT",18401,12000
5,1200000396,13,27,.02179688,14.34,"DIET PEPSI N.R. BOTT",18401,12000
5,1200000492,13,185,.01759625,13.45,"CAFFEINE FREE PEPSI",18401,12000
5,1200000496,13,256,.01759625,13.45,"DIET PEPSI CAFFEINE",18401,12000
5,3828100261,13,67,.01666667,45,"DOM ORANGE SODA",18401,38281
5,4900000634,13,41,.03875,22.94,"COCA-COLA CLASSIC CA",18401,49000
5,4900000639,13,106,.02351096,15.09,"COCA-COLA CLASSIC",18401,49000
5,4900000658,13,45,.03875,22.94,"COKE DIET CANS",18401,49000
5,5490000060,13,71,.01759625,27.73,"DR PEPPER",18401,54900
5,1200000230,14,139,.02351096,15.09,"PEPSI COLA N/R",20590,12000
5,1200000394,14,25,.02179688,14.34,"PEPSI COLA N.R. BOTT",20590,12000
5,1200000396,14,18,.02179688,14.34,"DIET PEPSI N.R. BOTT",20590,12000
5,1200000492,14,52,.02498963,20.12,"CAFFEINE FREE PEPSI",20590,12000
5,1200000496,14,41,.02498963,20.12,"DIET PEPSI CAFFEINE",20590,12000
5,3828100261,14,32,.01666667,45,"DOM ORANGE SODA",20590,38281
5,4900000634,14,60,.03875,22.94,"COCA-COLA CLASSIC CA",20590,49000
5,4900000639,14,846,.01316022,51.69,"COCA-COLA CLASSIC",20590,49000
5,4900000658,14,32,.03875,22.94,"COKE DIET CANS",20590,49000
5,5490000060,14,19,.02498963,49.11,"DR PEPPER",20590,54900
5,1200000230,15,677,.01316022,51.69,"PEPSI COLA N/R",18629,12000
5,1200000394,15,24,.02335938,20.07,"PEPSI COLA N.R. BOTT",18629,12000
5,1200000396,15,22,.02335938,20.07,"DIET PEPSI N.R. BOTT",18629,12000
5,1200000492,15,281,.01316022,51.69,"CAFFEINE FREE PEPSI",18629,12000
5,1200000496,15,253,.01316022,51.69,"DIET PEPSI CAFFEINE",18629,12000
5,3828100261,15,13,.01666667,45,"DOM ORANGE SODA",18629,38281
5,4900000634,15,37,.03875,22.94,"COCA-COLA CLASSIC CA",18629,49000
5,4900000639,15,132,.02351096,15.09,"COCA-COLA CLASSIC",18629,49000
5,4900000658,15,24,.03875,22.94,"COKE DIET CANS",18629,49000
5,5490000060,15,29,.02498963,49.11,"DR PEPPER",18629,54900
5,1200000230,16,1568,.01316022,51.69,"PEPSI COLA N/R",18811,12000
5,1200000394,16,30,.02335938,20.07,"PEPSI COLA N.R. BOTT",18811,12000
5,1200000396,16,25,.02335938,20.07,"DIET PEPSI N.R. BOTT",18811,12000
5,1200000492,16,372,.01316022,51.69,"CAFFEINE FREE PEPSI",18811,12000
5,1200000496,16,312,.01316022,51.69,"DIET PEPSI CAFFEINE",18811,12000
5,3828100261,16,40,.01666667,42,"DOM ORANGE SODA",18811,38281
5,4900000634,16,43,.03875,22.94,"COCA-COLA CLASSIC CA",18811,49000
5,4900000639,16,900,.01316022,51.69,"COCA-COLA CLASSIC",18811,49000
5,4900000658,16,39,.03875,22.94,"COKE DIET CANS",18811,49000
5,5490000060,16,211,.01168154,8.86,"DR PEPPER",18811,54900
5,1200000230,17,184,.02351096,15.09,"PEPSI COLA N/R",17266,12000
5,1200000394,17,24,.02335938,20.07,"PEPSI COLA N.R. BOTT",17266,12000
5,1200000396,17,10,.02335938,20.07,"DIET PEPSI N.R. BOTT",17266,12000
5,1200000492,17,44,.02498963,20.12,"CAFFEINE FREE PEPSI",17266,12000
5,1200000496,17,53,.02498963,20.12,"DIET PEPSI CAFFEINE",17266,12000
5,3828100261,17,76,.01666667,42,"DOM ORANGE SODA",17266,38281
5,4900000634,17,317,.03875,22.94,"COCA-COLA CLASSIC CA",17266,49000
5,4900000639,17,126,.02351096,15.09,"COCA-COLA CLASSIC",17266,49000
5,4900000658,17,228,.03875,22.94,"COKE DIET CANS",17266,49000
5,5490000060,17,7,.02498963,49.11,"DR PEPPER",17266,54900
5,1200000230,18,280,.01759625,13.45,"PEPSI COLA N/R",17257,12000
5,1200000394,18,161,.01949219,4.02,"PEPSI COLA N.R. BOTT",17257,12000
5,1200000396,18,130,.01949219,4.02,"DIET PEPSI N.R. BOTT",17257,12000
5,1200000492,18,128,.01759625,13.45,"CAFFEINE FREE PEPSI",17257,12000
5,1200000496,18,176,.01759625,13.45,"DIET PEPSI CAFFEINE",17257,12000
5,3828100261,18,28,.02083333,46,"DOM ORANGE SODA",17257,38281
5,4900000634,18,37,.03875,22.94,"COCA-COLA CLASSIC CA",17257,49000
5,4900000639,18,328,.01759625,13.45,"COCA-COLA CLASSIC",17257,49000
5,4900000658,18,27,.03875,22.94,"COKE DIET CANS",17257,49000
5,5490000060,18,59,.01759625,13.45,"DR PEPPER",17257,54900
5,1200000230,19,174,.02351096,15.09,"PEPSI COLA N/R",17762,12000
5,1200000394,19,50,.02335938,20.07,"PEPSI COLA N.R. BOTT",17762,12000
5,1200000396,19,28,.02335938,20.07,"DIET PEPSI N.R. BOTT",17762,12000
5,1200000492,19,45,.02498963,20.12,"CAFFEINE FREE PEPSI",17762,12000
5,1200000496,19,68,.02498963,20.12,"DIET PEPSI CAFFEINE",17762,12000
5,3828100261,19,25,.02083333,42,"DOM ORANGE SODA",17762,38281
